Year,Month,State,MWh
2011,3,NJ,4181.47
2011,4,NJ,6114.39
2011,5,NJ,7457.33
2011,6,NJ,9078.05
2011,7,NJ,7724.32
2011,8,NJ,8089.7
2011,9,NJ,6158.02
2011,10,NJ,6642.29
2011,11,NJ,4245.94
2011,12,NJ,5638.79
2011,1,NM,4911.55
2011,2,NM,5156.97
2011,3,NM,6496.02
2011,4,NM,7024.68
2011,5,NM,7827.41
2011,6,NM,8130.47
2011,7,NM,8453.57
2011,8,NM,13315.23
2011,9,NM,14988.78
2011,10,NM,16884.39
2011,11,NM,15348.82
2011,12,NM,19264.12
2011,1,NV,13367.28
2011,2,NV,17763.11
2011,3,NV,22177.86
2011,4,NV,30774.51
2011,5,NV,33910.3
2011,6,NV,38660.34
2011,7,NV,28288.84
2011,8,NV,33188.11
2011,9,NV,23809.14
2011,10,NV,22918.76
2011,11,NV,14134.58
2011,12,NV,12231.68
2011,11,NY,3435.0
2011,12,NY,3008.0
2011,1,OH,330.29
2011,2,OH,818.08
2011,3,OH,1155.47
2011,4,OH,1570.42
2011,5,OH,1841.1
2011,6,OH,2145.14
2011,7,OH,1825.25
2011,8,OH,1911.59
2011,9,OH,1422.02
2011,10,OH,1173.9
2011,11,OH,653.98
2011,12,OH,647.74
2011,10,OR,53.17
2011,11,OR,18.9
2011,12,OR,17.93
2011,1,PA,392.03
2011,2,PA,970.98
2011,3,PA,1371.44
2011,4,PA,1863.93
2011,5,PA,2310.08
2011,6,PA,2952.82
2011,7,PA,2640.25
2011,8,PA,2765.14
2011,9,PA,2056.97
2011,10,PA,1698.07
2011,11,PA,2226.71
2011,12,PA,1895.62
2011,1,TX,614.08
2011,2,TX,1520.97
2011,3,TX,2148.25
2011,4,TX,2919.71
2011,5,TX,3422.97
2011,6,TX,3988.23
2011,7,TX,3393.5
2011,8,TX,3554.02
2011,9,TX,2643.81
2011,10,TX,2182.51
2011,11,TX,1215.88
2011,12,TX,1035.09
2011,5,VT,289.83
2011,6,VT,337.69
2011,7,VT,287.33
2011,8,VT,300.92
2011,9,VT,223.85
2011,10,VT,184.8
2011,11,VT,102.95
2011,12,VT,87.64
2011,1,WA,31.0
2011,2,WA,51.0
2011,3,WA,56.0
2011,4,WA,84.0
2011,5,WA,86.0
2011,6,WA,99.0
2011,7,WA,97.0
2011,8,WA,105.0
2011,9,WA,84.0
2011,10,WA,61.0
2011,11,WA,43.0
2011,12,WA,43.0
2012,1,AZ,11471.0
2012,1,CA,3714.87
2012,1,CO,2254.5
2012,1,DE,1434.85
2012,1,FL,12460.81
2012,1,GA,85.07
2012,1,HI,86.23
2012,1,IL,598.07
2012,1,IN,0.04
2012,1,MA,322.54
2012,1,MD,420.84
2012,1,MN,0.0
2012,1,NC,2419.83
2012,1,NJ,16999.67
2012,1,NM,20897.46
2012,1,NV,11774.5
2012,1,NY,3427.0
2012,1,OH,614.69
2012,1,OR,17.36
2012,1,PA,1940.46
2012,1,TN,60.43
2012,1,TX,4223.56
2012,1,US-Total,95319.86
2012,1,VT,66.09
2012,1,WA,30.0
2012,2,AZ,13692.72
2012,2,CA,35976.47
2012,2,CO,2735.31
2012,2,DE,1034.17
2012,2,FL,8976.36
2012,2,GA,61.32
2012,2,HI,130.86
2012,2,IL,907.63
2012,2,IN,0.06
2012,2,MA,489.49
2012,2,MD,371.1
2012,2,MN,0.0
2012,2,NC,1967.72
2012,2,NJ,20579.87
2012,2,NM,21196.79
2012,2,NV,15220.1
2012,2,NY,4006.0
2012,2,OH,1116.4
2012,2,OR,170.43
2012,2,PA,2312.34
2012,2,TN,87.41
2012,2,TX,4056.5
2012,2,US-Total,135240.34
2012,2,VT,100.31
2012,2,WA,51.0
2012,3,AZ,17866.19
2012,3,CA,87847.59
2012,3,CO,3762.07
2012,3,DE,2376.03
2012,3,FL,20654.8
2012,3,GA,140.87
2012,3,HI,239.46
2012,3,IL,1660.86
2012,3,IN,0.11
2012,3,MA,999.69
2012,3,MD,852.61
2012,3,MN,0.0
2012,3,NC,4257.03
2012,3,NJ,25719.39
2012,3,NM,26687.35
2012,3,NV,21904.57
2012,3,NY,4810.0
2012,3,OH,2020.08
2012,3,OR,417.33
2012,3,PA,2840.99
2012,3,TN,149.08
2012,3,TX,5779.77
2012,3,US-Total,231228.39
2012,3,VT,183.55
2012,3,WA,59.0
2012,4,AZ,27881.44
2012,4,CA,128450.68
2012,4,CO,11487.71
2012,4,DE,2675.5
2012,4,FL,23263.28
2012,4,GA,158.63
2012,4,HI,345.27
2012,4,IL,2394.8
2012,4,IN,0.16
2012,4,MA,1755.16
2012,4,MD,960.07
2012,4,MN,0.0
2012,4,NC,5529.81
2012,4,NJ,31768.66
2012,4,NM,24951.24
2012,4,NV,34197.56
2012,4,NY,5910.0
2012,4,OH,2860.9
2012,4,OR,603.79
2012,4,PA,3475.46
2012,4,TN,989.36
2012,4,TX,8719.2
2012,4,US-Total,318723.31
2012,4,VT,264.66
2012,4,WA,80.0
2012,5,AZ,94423.37
2012,5,CA,176274.2
2012,5,CO,18703.11
2012,5,DE,2409.63
2012,5,FL,20554.22
2012,5,GA,142.86
2012,5,HI,522.99
2012,5,IL,3627.46
2012,5,IN,0.24
2012,5,MA,2658.58
2012,5,MD,864.67
2012,5,MN,0.0
2012,5,NC,5864.88
2012,5,NJ,27318.27
2012,5,NM,31814.52
2012,5,NV,50081.49
2012,5,NY,4692.0
2012,5,OH,4259.9
2012,5,OR,829.77
2012,5,PA,2912.36
2012,5,TN,1316.4
2012,5,TX,12641.19
2012,5,US-Total,462596.84
2012,5,UT,196.87
2012,5,VT,400.88
2012,5,WA,87.0
2012,6,AZ,106515.64
2012,6,CA,219431.08
2012,6,CO,20382.93
2012,6,DE,2086.89
2012,6,FL,18141.11
2012,6,GA,391.34
2012,6,HI,558.53
2012,6,IL,3873.92
2012,6,IN,0.25
2012,6,MA,3575.25
2012,6,MD,748.85
2012,6,MN,0.0
2012,6,NC,6266.28
2012,6,NJ,32853.9
2012,6,NM,30659.65
2012,6,NV,51299.65
2012,6,NY,5610.0
2012,6,OH,4543.57
2012,6,OR,896.78
2012,6,PA,3429.56
2012,6,TN,1391.59
2012,6,TX,13685.1
2012,6,US-Total,527067.64
2012,6,UT,212.64
2012,6,VT,428.12
2012,6,WA,85.0
2012,7,AZ,110311.64
2012,7,CA,190884.39
2012,7,CO,18894.63
2012,7,DE,2530.92
2012,7,FL,22004.94
2012,7,GA,395.52
2012,7,HI,525.01
2012,7,IL,3641.43
2012,7,IN,0.24
2012,7,MA,4093.97
2012,7,MD,3986.63
2012,7,MN,0.0
2012,7,NC,9165.51
2012,7,NJ,31872.63
2012,7,NM,32286.14
2012,7,NV,50803.22
2012,7,NY,5348.0
2012,7,OH,4258.09
2012,7,OR,775.7
2012,7,PA,3324.53
2012,7,TN,1276.39
2012,7,TX,12417.62
2012,7,US-Total,509510.28
2012,7,UT,206.71
2012,7,VT,402.43
2012,7,WA,104.0
2012,8,AZ,118547.23
2012,8,CA,151928.56
2012,8,CO,18060.19
2012,8,DE,1910.67
2012,8,FL,16768.35
2012,8,GA,330.25
2012,8,HI,478.94
2012,8,IL,3321.94
2012,8,IN,0.22
2012,8,MA,3734.78
2012,8,MD,3166.48
2012,8,MN,0.0
2012,8,NC,7182.14
2012,8,NJ,31329.62
2012,8,NM,26924.19
2012,8,NV,49556.09
2012,8,NY,5410.0
2012,8,OH,3869.9
2012,8,OR,611.44
2012,8,PA,3263.45
2012,8,TN,1128.24
2012,8,TX,12819.55
2012,8,US-Total,461410.88
2012,8,UT,210.99
2012,8,VT,757.66
2012,8,WA,100.0
2012,9,AZ,119320.25
2012,9,CA,147719.52
2012,9,CO,19157.41
2012,9,DE,1658.05
2012,9,FL,14548.89
2012,9,GA,370.28
2012,9,HI,475.28
2012,9,IL,3296.55
2012,9,IN,0.22
2012,9,MA,3706.24
2012,9,MD,2747.82
2012,9,MN,0.0
2012,9,NC,8658.35
2012,9,NJ,27814.77
2012,9,NM,27491.4
2012,9,NV,55885.53
